restaurant_name,online_order,book_table,rating,votes,location,cuisines,cost_per_person,restaurant_type
Bella,Yes,Yes,3.9,142,Jayanagar,"Mangalorean, Seafood, South Indian",500,Delivery
Vennela Andhra Meals,Yes,No,3,23,Jayanagar,Andhra,200,Delivery
New Prashanth Hotel,Yes,No,3.6,143,Jayanagar,"South Indian, Biryani, Chinese, North Indian",375,Delivery
The Grillo,Yes,Yes,2.8,80,Jayanagar,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",250,Delivery
Re Malnad Nati Style Hotel,Yes,No,3.6,16,JP Nagar,South Indian,200,Delivery
Karma Kaapi,Yes,No,4.4,181,Jayanagar,"Beverages, Tea",125,Delivery
Tiwari's,Yes,No,3.8,70,Jayanagar,"North Indian, Street Food",100,Delivery
Pizza Stop,Yes,No,3.8,164,Basavanagudi,"Pizza, Italian",300,Delivery
Biggies Burger 'n' More,Yes,No,3.6,58,Kumaraswamy Layout,"Cafe, Burger, Beverages",325,Delivery
Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",275,Delivery
Kollapuri's,No,No,3.9,206,Basavanagudi,"South Indian, Mangalorean",225,Delivery
Sugar Stars Co,No,No,3.700497969,0,Basavanagudi,"Bakery, Desserts",150,Delivery
Bombay Kulfis,No,No,3.700497969,0,JP Nagar,Ice Cream,100,Delivery
Kadamba Classic,No,No,3.6,16,Mysore Road,South Indian,150,Delivery
RS Shiv Sagar,No,No,3.7,217,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Juices",225,Delivery
Kholi Mane,No,No,3.6,46,Basavanagudi,"Andhra, South Indian, Biryani, North Indian",225,Delivery
Harshi Super Sandwich,No,No,3.8,148,Basavanagudi,"Fast Food, Street Food",75,Delivery
Cake Yard,No,No,3.4,30,Basavanagudi,Desserts,125,Delivery
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,"North Indian, South Indian, Andhra, Chinese",400,Delivery
Sri Udupi Veg,No,No,3.3,4,Jayanagar,South Indian,125,Delivery
Cake Art,No,No,3.5,15,Basavanagudi,Bakery,200,Delivery
Aahar Cafe,No,No,3.700497969,0,Basavanagudi,South Indian,50,Delivery
Akash Gowdru Biryani Center,No,No,3.700497969,0,Uttarahalli,"North Indian, Chinese",150,Delivery
New Sri Udupi Restaurant,No,No,3.700497969,0,Jayanagar,"North Indian, South Indian, Chinese, Beverages, Fast Food",100,Delivery
Potato House,Yes,No,3.4,9,Uttarahalli,Street Food,100,Delivery
Hotel Biriyani Counter,No,No,3.700497969,0,Vijay Nagar,"North Indian, Chinese, Biryani",175,Delivery
Matru Sagar,Yes,No,3.7,31,Mysore Road,"South Indian, North Indian",150,Delivery
Ugadi,Yes,No,2.9,177,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",350,Delivery
Sri Krishna Sweets,Yes,No,3.7,22,Basavanagudi,"Mithai, Desserts",125,Delivery
In Time Cane Juice,Yes,No,3.5,10,Kumaraswamy Layout,"Juices, Beverages",50,Delivery
Subway,Yes,No,3.7,136,Banashankari,"Salad, Fast Food",300,Delivery
Daal Roti,Yes,No,2.9,35,Kumaraswamy Layout,"North Indian, Chinese",125,Delivery
The Lassi Park,Yes,No,4.1,185,Jayanagar,"Juices, Desserts",100,Delivery
Cafe Coffee Day,Yes,No,3.2,17,Jayanagar,"Cafe, Fast Food",450,Delivery
A2B - Adyar Ananda Bhavan,Yes,No,3.8,155,Mysore Road,"South Indian, North Indian, Chinese, Street Food",200,Delivery
Srikrishna Bhavan,Yes,No,3.8,42,Banashankari,"South Indian, North Indian, Chinese",150,Delivery
Timepass Dinner,Yes,No,3.8,286,Basavanagudi,North Indian,300,Delivery
Green Gardenia,Yes,No,3.8,160,Banashankari,"North Indian, Chinese",350,Delivery
J Spice,Yes,No,3.8,59,Banashankari,"North Indian, Chinese",375,Delivery
